РЕЕСТР;РЕЕСТР Период внесения изменений;Внесены изменения в Положение об ИОГВ;Основание/ Дата внесения изменений в Положение (дата согласования КРИОГВ изменений в положение);Основание для исключения (Реквизиты НПА, регламентирующие исключение полномочия);№ пункта в соответствии с ПП Правительства РФ от 30.05.2014 № 496;полномочие осуществляется с использованием ИС;№ пункта в положении об ИОГВ;Статус; Услугу/функцию предоставляет Администрация района/ОМСУ/ФОИВ/ВФ/ГУ;Наименование ИОГВ СПб;Наименование полномочия в соответствии с Положением об ИОГВ;Наименование услуги (функции);порядковый номер услуги/функции;Наименование процедуры в сфере жилищного строительства (распоряжение Правительства РФ);Тип;субъект предоставления услуг (физ/юр);№ пункта Плана-графика 2013;План-график 2013 (срок исполнения);План-график 2013 (требуется внесение изменений);Продление срока по Плану 2013;Основание для продления срока по Плану 2013;Исключение из Плана 2013;Основание для исключения из Плана 2013;План 2013 исполнен;№ пункта Плана-графика 2014;Срок исполнения План-графика 2014;Основание для включения услуги в План-график 2014;Основание для исключения из Плана 2014;"План 2014
исполнение";№ пункта Плана-графика 2015;Срок исполнения План-графика 2015;Основание для включения услуги в План-график 2015;Основание для исключения из Плана 2015;"План 2015
исполнение";Мониторинг в 2014 году;Проведен мониторинг в 2013 году;услуга включена в дорожную карту ИОГВ;Результаты мониторинга 2013 года;"%
удовлетворенности заявителей по услуге";Срок исполнения мероприятий по ДК;Отметка о выполнении;№ пункта Плана-графика 2012;План-график 2012 (месяц);План-график 2012 Внесение изменений в АР;Продление срока;Исключение из Плана 2012;Основание для исключения;ПГ 2012 исполнен;1593;1593 (ред. от 20.09.2012);Внесение изменений в 1593;Реквизиты соглашения;Дата начала предоставления услуги в МФЦ;Реализация в МАИС МФЦ;8-рп;Внесение изменений в 8-рп;Внесение изменений в 11-рп;"Реализация в АИС ""ЭСРН"" (Систематика)";Реализация по ГК в 2014 году;Реализация по ГК в 2014 году ;11-рп от 13.03.2014;этап предоставления на Портале;Внесение изменений в 8-рп в редакции 11-рп от 13.03.2014;Возможность выдачи результата в электронном виде;ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 20 услуг;ГК 2014 - Развитие МАИС (подлежат модернизации по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 27 услуг;"ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - статическая реализация услуг) - 3 услуги (в ГК - 4, нет ""8 тонн"")";ГК 2014 - Развитие МАИС (перечень платежей, которые разрабатываются на Портале и в мобильных приложениях на безе Android и iOS);ГК 2014 - Развитие МАИС (электронные ГУ, разрабатываются в ЭДО МФЦ) - 15 услуг;ГК 2014 - Развитие МАИС (электронные услуги КСП, модернизируются по результатам интеграции МАИС ЭГУ с АИС ЭСРН) - 96 услуг;ГК 2014 - Развитие МАИС (реализуются в ЭДО МФЦ, предоставляются юридическим лицам) - 55 услуг;ГК 2014 - Развитие МАИС ЭГУ (административные процедуры 2-й очереди, разрабатываемые в 2014 году в ЭДО МФЦ) - 20 услуг; УЭК                 ;Реализация на портале (Ростелеком);Актуализация по ЕПГУ;1993-р;729-р;реализация в электронном виде;51-рп;Внесение изменений в 51-рп;"ТКМВ
(реквизиты  протокола РГ МИВ)";ТКМВ внесение изменений (реквизиты  протокола РГ МИВ);КАР;Административный регламент утвержден распоряжением ИОГВ;Реквизиты нормативных правовых актов изменений в АР;Возмездная / Безвозмездная государственная услуга;Сумма госпошлины;Количество взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;Наименование взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;"Наименование услуги необходимой и обязательной, 
содержащейся в
постановлении
Правительства Санкт-Петербурга
от 03.02.2012 N 93";Наименование учреждения (организации), предоставляющей услугу необходимую и обязательную;Стоимость услуги н.о.;Наименование услуги (документа) необходимой для предоставления государственной услуги;Наименование учреждения (организации), предоставляющей необходимую услугу;Стоимость услуги необходимой для получения гос. услуги;Результат предоставления услуги/исполнения функции;Время ожидания в очереди;Требуется внесение изменений в АР;Дата поступления  на согласование;Результат согласования ;Дата согласования ;ФИО эксперта;Дата повторного поступления  на согласование;Результат повторного согласования ;Дата повторного согласования ;ФИО эксперта;Предварительная экспертиза ЮК (реквизиты письма);Результат предварительной экспертизы в ЮК;Проект направлен в ЮК для вынесения на КАР (реквизиты письма);Отсутствует НПА на федеральном уровне;Требуется внесение изменений в НПА на федеральном уровне;Отсутствует НПА СПб;Требуется внесение изменений в НПА СПб;№ п/п в соответствии с Перечнями №1 и №2 МЭР;Наименование в соответствии с Перечнями №1 и №2 МЭР;Комментарии Юридического Комитета;Наименование функции (услуги)  в соответствии с федеральным законодательством;Реквизиты НПА федерального уровня, которым функция (полномочие) закреплено (отнесено к ведению) за субъектом РФ;Наименование функции в соответствии с законодательством Санкт-Петербурга ;Реквизиты НПА регионального уровня, которым функция (полномочие) закреплено (порядок предоставления услуги);Реквизиты НПА, закрепляющего перечень документов представления услуги;Реквизиты НПА, которыми полномочие передано для осуществления ИОГВ субъекта РФ с федерального уровня;133-ФЗ;"Количество обращений за предоставление услуги
 (за 2011 год)";"Количество обращений за предоставлением услуги
(за 2013 год)";Количество обращений за предоставление услуги;Количество обращений за предоставление услуги;"Количество обращений за предоставление услуги
 (на 1.11.2012)";Формирование отчета по полномочиям;Примечание;Идентификатор услуги
р;;о внесении изменений в постановления Правительства СПб от 30.12.2003 №175, от 21.09.2004 №1589, от 05.06.2007№637, от 20.01.2009 №12;;;;;3.9.3-1.;Исполняемое;;Комитет по управлению городским имуществом;Включать жилые дома, являющиеся  жилыми помещениями  государственного жилищного фонда Санкт-Петербурга, признанные непригодными для проживания расположенные в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции, в том числе жилые помещения, признанные непригодными для проживания и расположенные в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции, в жилищный фонд коммерческого использования Санкт-Петербурга в целях продажи таких жилых помещений на торгах жилые дома, являющиеся  жилыми помещениями  государственного жилищного фонда Санкт-Петербурга и исключать указанные жилые помещения из жилищного фонда коммерческого использования Санкт-Петербурга. Принимать решение о продаже на торгах жилых помещений жилищного фонда коммерческого использования Санкт-Петербурга, расположенных в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции, в том числе жилых помещений, признанных непригодными для проживания и расположенных в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции.;Включать жилые дома, являющиеся  жилыми помещениями  государственного жилищного фонда Санкт-Петербурга, признанные непригодными для проживания расположенные в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции, в том числе жилые помещения, признанные непригодными для проживания и расположенные в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции, в жилищный фонд коммерческого использования Санкт-Петербурга в целях продажи таких жилых помещений на торгах жилые дома, являющиеся  жилыми помещениями  государственного жилищного фонда Санкт-Петербурга и исключать указанные жилые помещения из жилищного фонда коммерческого использования Санкт-Петербурга. Принимать решение о продаже на торгах жилых помещений жилищного фонда коммерческого использования Санкт-Петербурга, расположенных в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции, в том числе жилых помещений, признанных непригодными для проживания и расположенных в многоквартирных домах, признанных аварийными и подлежащими сносу или реконструкции.;2196;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.01.2012 КАР №42;от 26.03.2012 №33-р;;;;;;;;;;;;;;;14.11.2011;согласовано;17.11.2011.;Кононов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.16.-1.;Исполняемое;;Комитет по управлению городским имуществом;Принимать решения об отчуждении в соответствии с гражданским законодательством принадлежащих Санкт-Петербургу долей в праве общей долевой собственности на земельные участки, находящиеся в общей долевой собственности Санкт-Петербурга и третьих лиц, а также совершать сделки, направленные на исполнение указанных решений.;Принимать решения об отчуждении в соответствии с гражданским законодательством принадлежащих Санкт-Петербургу долей в праве общей долевой собственности на земельные участки, находящиеся в общей долевой собственности Санкт-Петербурга и третьих лиц, а также совершать сделки, направленные на исполнение указанных решений.;2197;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.01.2012 КАР №42;В настоящее время целиком меняется порядок принятия решения,  утвержденного АР нет;;;;;;;;;;;;;;;01.09.2011;согласовано;19.09.2011;Тарасов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;август;"О размещении нестационарных торговых объектов 
на земельных участках, находящихся в государственной 
собственности Санкт-Петербурга или 
государственная собственность на которые не разграничена,
и внесении изменений в отдельные правовые акты Правительства Санкт-Петербурга (изменена формулировка)

";КАР №45;;;;3.16.-2.;Исполняемое;;Комитет по управлению городским имуществом;Принимать решения о согласовании включения нестационарных торговых объектов, расположенных на земельных участках, находящихся в государственной собственности Санкт-Петербурга или государственная собственность на которые не разграничена, в схему размещения нестационарных торговых объектов, либо об отказе в указанном  согласовании;Осуществлять в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании или отказе в согласовании включения земельных участков в адресную программу размещения объектов потребительского рынка.;2198;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 15.06.2011 № 36;от 5.05.2010  N 554;от 13.10.2011                                                                                  №  180-р;;;;;;;;;;;;;;03.06.2011;согласовано;14.06.2011;Тарасов;;;;;;;;;;;;;;;;;постановление Правительства Санкт-Петербурга от 05.05.2010 № 554;;;;;;;;;;;;
р;;;;;;;3.17.;Исполняемое;;Комитет по управлению городским имуществом;Осуществлять контроль за использованием и сохранностью государственного имущества Санкт-Петербурга, включая имущество, переданное в установленном порядке государственным предприятиям, учреждениям на праве хозяйственного ведения, праве оперативного управления, праве постоянного (бессрочного) пользования земельным участком или обязательственном праве, а также имущество, переданное в установленном порядке иным юридическим и физическим лицам, в том числе назначать и проводить в указанных целях документальные и фактические проверки (ревизии, инвентаризации), принимать участие в документальных и фактических проверках, назначаемых и проводимых иными исполнительными органами государственной власти Санкт-Петербурга в соответствии с их компетенцией, а в установленных действующим законодательством случаях назначать аудиторские проверки, утверждать аудитора и размер оплаты его услуг.;Осуществлять контроль за использованием и сохранностью государственного имущества Санкт-Петербурга, включая имущество, переданное в установленном порядке государственным предприятиям, учреждениям на праве хозяйственного ведения, праве оперативного управления, праве постоянного (бессрочного) пользования земельным участком или обязательственном праве, а также имущество, переданное в установленном порядке иным юридическим и физическим лицам, в том числе назначать и проводить в указанных целях документальные и фактические проверки (ревизии, инвентаризации), принимать участие в документальных и фактических проверках, назначаемых и проводимых иными исполнительными органами государственной власти Санкт-Петербурга в соответствии с их компетенцией, а в установленных действующим законодательством случаях назначать аудиторские проверки, утверждать аудитора и размер оплаты его услуг.;2199;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 16.12.2009 № 21;от 0.04.2010 №51-р;;;;;;;;;;;;;;;01.08.2011;согласовано;17.08.2011;Тарасов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.5. ;Исполняемое;;Комитет по управлению городским имуществом;Утверждать в установленном порядке примерные формы уставов государственных предприятий и учреждений и трудовых договоров с их руководителями.;Утверждать в установленном порядке примерные формы уставов государственных предприятий и учреждений и трудовых договоров с их руководителями.;2200;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 24.12.2010 № 32;от 28.02.2011 N 17-р;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.15. ;Общая;;Комитет по управлению городским имуществом;Принимать участие в подготовке проектов законов и иных нормативных правовых актов по вопросам, входящим в компетенцию Комитета, в том числе давать заключения по проектам правовых актов, направляемым на согласование в исполнительные органы государственной власти Санкт-Петербурга.;Принимать участие в подготовке проектов законов и иных нормативных правовых актов по вопросам, входящим в компетенцию Комитета, в том числе давать заключения по проектам правовых актов, направляемым на согласование в исполнительные органы государственной власти Санкт-Петербурга.;2201;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.18.;Общая;;Комитет по управлению городским имуществом;Запрашивать и получать информацию о деятельности всех органов государственной власти и управления, государственных предприятий и учреждений, расположенных или действующих на территории Санкт-Петербурга, в объемах, необходимых для выполнения возложенных на Комитет функций.;Запрашивать и получать информацию о деятельности всех органов государственной власти и управления, государственных предприятий и учреждений, расположенных или действующих на территории Санкт-Петербурга, в объемах, необходимых для выполнения возложенных на Комитет функций.;2202;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.19.;Общая;;Комитет по управлению городским имуществом;Привлекать в установленном законодательством порядке научные, исследовательские, консалтинговые, иные организации, а также ученых и специалистов в целях обеспечения решения задач, относящихся к компетенции Комитета, в случаях, не противоречащих законодательству.;Привлекать в установленном законодательством порядке научные, исследовательские, консалтинговые, иные организации, а также ученых и специалистов в целях обеспечения решения задач, относящихся к компетенции Комитета, в случаях, не противоречащих законодательству.;2203;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.20.;Исполняемое;;Комитет по управлению городским имуществом;Осуществлять анализ финансово-хозяйственной деятельности организаций, участником (учредителем) которых является Санкт-Петербург.;Осуществлять анализ финансово-хозяйственной деятельности организаций, участником (учредителем) которых является Санкт-Петербург.;2204;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.21. ;Общая;;Комитет по управлению городским имуществом;Осуществлять полномочия главного распорядителя средств бюджета Санкт-Петербурга и государственного заказчика Санкт-Петербурга, в том числе заключать государственные контракты Санкт-Петербурга от имени Санкт-Петербурга.;Осуществлять полномочия главного распорядителя средств бюджета Санкт-Петербурга и государственного заказчика Санкт-Петербурга, в том числе заключать государственные контракты Санкт-Петербурга от имени Санкт-Петербурга.;2205;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.24. ;Общая;;Комитет по управлению городским имуществом;Обеспечивать рассмотрение обращений граждан и юридических лиц в соответствии с действующим законодательством, обеспечивать организацию приема граждан и представителей организаций по вопросам, отнесенным к компетенции Комитета.;Обеспечивать рассмотрение обращений граждан и юридических лиц в соответствии с действующим законодательством, обеспечивать организацию приема граждан и представителей организаций по вопросам, отнесенным к компетенции Комитета.;2206;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.25.;Исполняемое;;Комитет по управлению городским имуществом; Осуществлять иные полномочия собственника государственного имущества Санкт-Петербурга, за исключением тех полномочий, которые в соответствии с действующим законодательством относятся к компетенции иных органов государственной власти Санкт-Петербурга.; Осуществлять иные полномочия собственника государственного имущества Санкт-Петербурга, за исключением тех полномочий, которые в соответствии с действующим законодательством относятся к компетенции иных органов государственной власти Санкт-Петербурга.;2207;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;2012;октябрь;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;; - ;Дополнительная;;Комитет по управлению городским имуществом;Предоставление информации об объектах недвижимого имущества, находящихся в государственной собственности и предназначенных для сдачи в аренду;Предоставление информации об объектах недвижимого имущества, находящихся в государственной собственности и предназначенных для сдачи в аренду;2208;;услуга;физ/юр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4.60.;требуется;;подлежит реализации в МАИС; 7.29 I;205   199 I;;;п.87 (ЕПГУ) приложение 16 ГК 49/13;;185 приложения 1;I;;;;;;;;;;;;01.09.2012;п.87 приложения 16 ГК 49/13;52 (1) I;;;0;;;;31.01.2012 КАР №42;от 07.03.2012 №26-р;"от 23.11.2012 №159-р
от 27.08.2013 № 85-р";;;;;;;;;;;;"45 минут.
";;01.08.2011;согласовано;15.08.2011;Тарасов;;;;;;Отрицательное заключение ЮК;;;;;;11.1.;"Управление и распоряжение земельными участками, находящимися в собственности субъектов Российской Федерации, земельными участками, государственная собственность на которые не разграничена, в поселениях, являющихся административными центрами (столицами) субъектов Российской Федерации, если законами соответствующих субъектов Российской Федерации установлено, что распоряжение такими земельными участками осуществляется исполнительными органами государственной власти субъектов Российской Федерации, включая:
предоставление информации об объектах недвижимого имущества, находящихся в государственной и муниципальной собственности и предназначенных для сдачи в аренду;
прием заявлений и выдача документов о согласовании проектов границ земельных участков;
выдача копий архивных документов, подтверждающих право на владение землей;
выдача разрешений на предоставление земельных участков для для индивидуального жилищного строительства ого жилищного строительства;
приобретение земельных участков из земель сельскохозяйственного значения, находящихся в государственной и муниципальной собственности, для создания фермерского хозяйства и осуществления его деятельности;
подготовка и выдача разрешений на строительство, реконструкцию, капитальный ремонт объектов капитального строительства, а также на ввод объектов в эксплуатацию";;;1993-р от 17.12.2009;;;"Распоряжение Комитета по управлению городским имуществом от 17.11.2009 N 150-р ""О порядке принятия решений о предоставлении в аренду земельных участков под цели, не связанные с возведением объектов недвижимости""";;;;1;;;;;;
р;;;;;;;3.26.;Исполняемое;;Комитет по управлению городским имуществом; Давать разъяснения по применению правовых актов, регулирующих отношения в сфере управления и распоряжения государственной собственностью Санкт-Петербурга.; Давать разъяснения по применению правовых актов, регулирующих отношения в сфере управления и распоряжения государственной собственностью Санкт-Петербурга.;2209;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.01.2012 КАР №42;от 22.03.2012 №32-р;;;;;;;;;;;;;;;23.11.2011;согласовано;25.11.2011;Тарасов;;;;;;;;;;;;;;;нет нормативно-правового обоснования;;;;;;;;;;;;;;
р;;;;;;;3.27.;Общая;;Комитет по управлению городским имуществом; Принимать участие в работе комиссий и рабочих групп в пределах своей компетенции.; Принимать участие в работе комиссий и рабочих групп в пределах своей компетенции.;2210;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.28.;Общая;;Комитет по управлению городским имуществом;Осуществлять в установленном порядке координацию деятельности подведомственных Комитету государственных предприятий и учреждений, назначать на должность и освобождать от должности руководителей таких государственных предприятий и учреждений по согласованию с вице-губернатором Санкт-Петербурга, координирующим и контролирующим деятельность Комитета, контролировать их деятельность.;Осуществлять в установленном порядке координацию деятельности подведомственных Комитету государственных предприятий и учреждений, назначать на должность и освобождать от должности руководителей таких государственных предприятий и учреждений по согласованию с вице-губернатором Санкт-Петербурга, координирующим и контролирующим деятельность Комитета, контролировать их деятельность.;2211;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.29. ;Общая;;Комитет по управлению городским имуществом;Обеспечивать организацию и проведение мероприятий по мобилизационной подготовке Комитета, разрабатывать и утверждать мобилизационный план Комитета и мобилизационные задания подведомственным государственным предприятиям и учреждениям.;Обеспечивать организацию и проведение мероприятий по мобилизационной подготовке Комитета, разрабатывать и утверждать мобилизационный план Комитета и мобилизационные задания подведомственным государственным предприятиям и учреждениям.;2212;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.29-1.;Общая;;Комитет по управлению городским имуществом; Создавать в установленном порядке рабочие группы, комиссии, а также иные коллегиальные совещательные органы с привлечением представителей органов государственной власти, юридических и физических лиц для решения задач, относящихся к компетенции Комитета. ; Создавать в установленном порядке рабочие группы, комиссии, а также иные коллегиальные совещательные органы с привлечением представителей органов государственной власти, юридических и физических лиц для решения задач, относящихся к компетенции Комитета. ;2213;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.29-2. ;Общая;;Комитет по управлению городским имуществом;Формировать государственный заказ Санкт-Петербурга на профессиональную переподготовку, повышение квалификации и стажировку государственных гражданских служащих, замещающих должности государственной гражданской службы Санкт-Петербурга в Комитете (далее - гражданские служащие) в сфере имущественных отношений, осуществлять контроль за ходом исполнения государственного заказа Санкт-Петербурга на профессиональную переподготовку, повышение квалификации и стажировку гражданских служащих в сфере имущественных отношений.;Формировать государственный заказ Санкт-Петербурга на профессиональную переподготовку, повышение квалификации и стажировку государственных гражданских служащих, замещающих должности государственной гражданской службы Санкт-Петербурга в Комитете (далее - гражданские служащие) в сфере имущественных отношений, осуществлять контроль за ходом исполнения государственного заказа Санкт-Петербурга на профессиональную переподготовку, повышение квалификации и стажировку гражданских служащих в сфере имущественных отношений.;2214;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.29-5. ;Общая;;Комитет по управлению городским имуществом;Осуществлять в пределах своей компетенции деятельность по реализации антикоррупционной политики в Санкт-Петербурге.;Осуществлять в пределах своей компетенции деятельность по реализации антикоррупционной политики в Санкт-Петербурге.;2215;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.29-7.;Исполняемое;;Комитет по управлению городским имуществом;Обеспечивать постановку на учет бесхозяйного недвижимого имущества, находящегося на территории Санкт-Петербурга, в органе, осуществляющем государственную регистрацию права на недвижимое имущество;Обеспечивать постановку на учет бесхозяйного недвижимого имущества, находящегося на территории Санкт-Петербурга, в органе, осуществляющем государственную регистрацию права на недвижимое имущество;2216;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;от 19.05.2010 № 25;от 21.06.2010 № 85-р;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Закон  Санкт-Петербурга от 16.02.2005 № 59-15 ""О приватизации государственного имущества Санкт-Петербурга""; Постановление Правительства Санкт-Петербурга от 23.10.2007 № 1369 ""О ПОРЯДКЕ ПЛАНИРОВАНИЯ ПРИВАТИЗАЦИИ ГОСУДАРСТВЕННОГО
ИМУЩЕСТВА САНКТ-ПЕТЕРБУРГА И ПОРЯДКЕ РАЗРАБОТКИ ПРОГРАММЫ
ПРИВАТИЗАЦИИ ГОСУДАРСТВЕННОГО ИМУЩЕСТВА САНКТ-ПЕТЕРБУРГА"" Постановление Правительства Санкт-Петербурга от 23.10.2007 № 1369 ""О ПОРЯДКЕ ПЛАНИРОВАНИЯ ПРИВАТИЗАЦИИ ГОСУДАРСТВЕННОГО
ИМУЩЕСТВА САНКТ-ПЕТЕРБУРГА И ПОРЯДКЕ РАЗРАБОТКИ ПРОГРАММЫ
ПРИВАТИЗАЦИИ ГОСУДАРСТВЕННОГО ИМУЩЕСТВА САНКТ-ПЕТЕРБУРГА""";
р;;;;;;;3.30.;Общая;;Комитет по управлению городским имуществом;Осуществлять иные полномочия, предусмотренные действующим законодательством, необходимые для выполнения стоящих перед Комитетом задач.;Осуществлять иные полномочия, предусмотренные действующим законодательством, необходимые для выполнения стоящих перед Комитетом задач.;2217;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;коррупциногенный фактор;;;;;;;;;;;;;"Закон  Санкт-Петербурга от 16.02.2005 № 59-15 ""О приватизации государственного имущества Санкт-Петербурга"";";
р;апрель;ПП СПБ от 21.09.2004 №1589 Положение дополнено новым пунктом 3.29-9.;КАР №44;;;;3.29-9.;Исполняемое;;Комитет по управлению городским имуществом;"Осуществлять в порядке и случаях, предусмотренных Федеральным законом ""О содействии развитию жилищного строительства"", следующие полномочия по управлению и распоряжению земельными участками, иными объектами недвижимого имущества, находящимися в федеральной собственности ";"Осуществлять в порядке и случаях, предусмотренных Федеральным законом ""О содействии развитию жилищного строительства"", следующие полномочия по управлению и распоряжению земельными участками, иными объектами недвижимого имущества, находящимися в федеральной собственности ";2218;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;апрель;ПП СПБ от 21.09.2004 №1589 Положение дополнено новым пунктом 3.29-9.1.;КАР №44;;;;3.29-9.1.;Исполняемое;;Комитет по управлению городским имуществом;Принятие решений о  прекращении права постоянного (бессрочного) пользования земельными участками, которые предоставлены федеральным государственным унитарным предприятиям, федеральным государственным учреждениям, государственным академиям наук, созданным такими академиями наук и (или) подведомственным им организациям (далее-организации);Принятие решений о прекращении права постоянного (бессрочного) пользования земельными участками, которые предоставлены федеральным государственным унитарным предприятиям, федеральным государственным учреждениям, государственным академиям наук, созданным такими академиями наук и (или) подведомственным им организациям (в части осуществления полномочиями по управлению и распоряжению земельными участкам, иными объектами недвижимого имущества, находящимися в федеральной собственности, в порядке и случаях, предусмотренных Федеральным законом «О содействии развитию жилищного строительства»);2219;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КАР №52;;;;;;;;;;;;;;;;19.06.2013;согласовано;25.06.2013;Ячменева;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
